IMEI,MessageID,MessageTypeId,MessageTypeName,receivedTime,messageTime,Signal_strength,HubBattery,PowerStatusID,Software_ver,Bootloader_ver,country_code,operator,local_area_id,cell_id,country,network,Longitude,Latitude,SensorName,HubSensorIndex,sensorTime,Temp,light,SensorBattery,DoorEvent,MovementCount,MovementDelta,CardNumber,CardHolder
123456789012345,238821,3,SensorReading,"2019-01-01 00:02:17","2019-01-01 00:02:15",,,,,,,,,,,,,,Bathroom,4,"2019-01-01 00:02:15",21.8125,0,3.1240,3,,,,
123456789012345,238822,3,SensorReading,"2019-01-01 00:12:22","2019-01-01 00:12:20",,,,,,,,,,,,,,"Front door",6,"2019-01-01 00:12:20",21.3125,0,3.1490,4,,,,
123456789012345,238823,3,SensorReading,"2019-01-01 00:12:36","2019-01-01 00:12:35",,,,,,,,,,,,,,Kitchen,1,"2019-01-01 00:12:34",23.2500,0,3.0960,3,,,,
123456789012345,238824,3,SensorReading,"2019-01-01 00:13:20","2019-01-01 00:13:19",,,,,,,,,,,,,,Hall,3,"2019-01-01 00:13:18",22.3125,0,3.1290,3,,,,
123456789012345,238825,3,SensorReading,"2019-01-01 00:13:26","2019-01-01 00:13:25",,,,,,,,,,,,,,Bedroom,5,"2019-01-01 00:13:23",22.6250,135,3.1180,3,,,,
123456789012345,238826,3,SensorReading,"2019-01-01 00:15:32","2019-01-01 00:15:31",,,,,,,,,,,,,,Lounge,2,"2019-01-01 00:15:30",23.3125,2,3.1770,3,,,,
123456789012345,238827,4,SensorMovement,"2019-01-01 00:20:45","2019-01-01 00:20:43",,,,,,,,,,,,,,Lounge,2,"2019-01-01 00:20:42",23.3125,0,3.1790,3,1,0,,
123456789012345,238828,4,SensorMovement,"2019-01-01 00:21:21","2019-01-01 00:21:19",,,,,,,,,,,,,,Kitchen,1,"2019-01-01 00:21:18",23.0625,0,3.0910,3,1,0,,
123456789012345,238829,4,SensorMovement,"2019-01-01 00:21:44","2019-01-01 00:21:43",,,,,,,,,,,,,,Lounge,2,"2019-01-01 00:21:36",23.3125,0,3.1770,3,4,0,,
123456789012345,238830,4,SensorMovement,"2019-01-01 00:21:52","2019-01-01 00:21:51",,,,,,,,,,,,,,Hall,3,"2019-01-01 00:21:51",22.3750,0,3.1310,3,1,0,,
123456789012345,238831,4,SensorMovement,"2019-01-01 00:21:55","2019-01-01 00:21:53",,,,,,,,,,,,,,"Front door",6,"2019-01-01 00:21:51",21.3750,0,3.1490,4,1,0,,
123456789012345,238832,4,SensorMovement,"2019-01-01 00:21:58","2019-01-01 00:21:56",,,,,,,,,,,,,,Bedroom,5,"2019-01-01 00:21:56",22.8125,96,3.1260,3,1,0,,
123456789012345,238833,3,SensorReading,"2019-01-01 00:22:17","2019-01-01 00:22:15",,,,,,,,,,,,,,Bathroom,4,"2019-01-01 00:22:15",21.8750,0,3.1310,3,,,,
123456789012345,238834,4,SensorMovement,"2019-01-01 00:22:20","2019-01-01 00:22:19",,,,,,,,,,,,,,Kitchen,1,"2019-01-01 00:21:29",22.9375,0,3.0930,3,3,0,,
123456789012345,238835,4,SensorMovement,"2019-01-01 00:22:52","2019-01-01 00:22:51",,,,,,,,,,,,,,Hall,3,"2019-01-01 00:21:51",22.3750,0,3.1290,3,1,0,,
123456789012345,238836,4,SensorMovement,"2019-01-01 00:22:58","2019-01-01 00:22:56",,,,,,,,,,,,,,Bedroom,5,"2019-01-01 00:21:57",22.8750,143,3.1240,3,1,0,,
123456789012345,238837,4,SensorMovement,"2019-01-01 00:23:58","2019-01-01 00:23:56",,,,,,,,,,,,,,Bedroom,5,"2019-01-01 00:23:42",22.8750,14,3.1240,3,10,0,,
123456789012345,238838,4,SensorMovement,"2019-01-01 00:24:58","2019-01-01 00:24:55",,,,,,,,,,,,,,Bedroom,5,"2019-01-01 00:24:40",22.8750,16,3.1220,3,1,0,,
123456789012345,238839,4,SensorMovement,"2019-01-01 00:25:58","2019-01-01 00:25:55",,,,,,,,,,,,,,Bedroom,5,"2019-01-01 00:25:52",22.9375,13,3.1200,3,3,0,,
123456789012345,238840,4,SensorMovement,"2019-01-01 00:27:09","2019-01-01 00:27:06",,,,,,,,,,,,,,Bedroom,5,"2019-01-01 00:27:05",22.9375,20,3.1200,3,1,0,,
123456789012345,238841,4,SensorMovement,"2019-01-01 00:28:09","2019-01-01 00:28:06",,,,,,,,,,,,,,Bedroom,5,"2019-01-01 00:27:21",23.0000,21,3.1200,3,3,0,,
123456789012345,238842,4,SensorMovement,"2019-01-01 00:39:45","2019-01-01 00:39:42",,,,,,,,,,,,,,Bedroom,5,"2019-01-01 00:39:41",23.0625,19,3.1220,3,1,0,,
123456789012345,238843,4,SensorMovement,"2019-01-01 00:40:45","2019-01-01 00:40:42",,,,,,,,,,,,,,Bedroom,5,"2019-01-01 00:40:33",23.2500,19,3.1200,3,6,0,,
123456789012345,238844,4,SensorMovement,"2019-01-01 00:40:47","2019-01-01 00:40:45",,,,,,,,,,,,,,Hall,3,"2019-01-01 00:40:45",22.4375,0,3.1290,3,1,0,,
123456789012345,238845,4,SensorMovement,"2019-01-01 00:40:53","2019-01-01 00:40:50",,,,,,,,,,,,,,Bathroom,4,"2019-01-01 00:40:49",21.8750,211,3.1260,3,1,0,,
123456789012345,238846,3,SensorReading,"2019-01-01 00:41:44","2019-01-01 00:41:42",,,,,,,,,,,,,,Lounge,2,"2019-01-01 00:41:43",23.1250,0,3.1770,3,,,,
123456789012345,238847,4,SensorMovement,"2019-01-01 00:41:53","2019-01-01 00:41:50",,,,,,,,,,,,,,Bathroom,4,"2019-01-01 00:40:53",21.9375,206,3.1220,3,2,0,,
123456789012345,238848,3,SensorReading,"2019-01-01 00:41:54","2019-01-01 00:41:52",,,,,,,,,,,,,,"Front door",6,"2019-01-01 00:41:51",21.5625,3,3.1530,4,,,,
123456789012345,238849,3,SensorReading,"2019-01-01 00:42:20","2019-01-01 00:42:18",,,,,,,,,,,,,,Kitchen,1,"2019-01-01 00:42:18",22.9375,0,3.0940,3,,,,
123456789012345,238850,4,SensorMovement,"2019-01-01 00:45:46","2019-01-01 00:45:44",,,,,,,,,,,,,,Bathroom,4,"2019-01-01 00:45:43",21.9375,198,3.1260,3,1,0,,
123456789012345,238851,4,SensorMovement,"2019-01-01 00:46:10","2019-01-01 00:46:07",,,,,,,,,,,,,,Hall,3,"2019-01-01 00:46:07",22.5000,0,3.1330,3,1,0,,
123456789012345,238852,4,SensorMovement,"2019-01-01 00:46:12","2019-01-01 00:46:09",,,,,,,,,,,,,,"Front door",6,"2019-01-01 00:46:08",21.5625,0,3.1550,4,1,0,,
123456789012345,238853,4,SensorMovement,"2019-01-01 00:46:18","2019-01-01 00:46:15",,,,,,,,,,,,,,Bedroom,5,"2019-01-01 00:46:14",23.2500,15,3.1240,3,1,0,,
123456789012345,238854,4,SensorMovement,"2019-01-01 00:46:47","2019-01-01 00:46:44",,,,,,,,,,,,,,Bathroom,4,"2019-01-01 00:46:01",22.1250,0,3.1220,3,3,0,,
123456789012345,238855,4,SensorMovement,"2019-01-01 00:47:09","2019-01-01 00:47:07",,,,,,,,,,,,,,Hall,3,"2019-01-01 00:46:07",22.5625,0,3.1330,3,1,0,,
123456789012345,238856,4,SensorMovement,"2019-01-01 00:47:17","2019-01-01 00:47:15",,,,,,,,,,,,,,Bedroom,5,"2019-01-01 00:47:00",23.1875,21,3.1270,3,9,0,,
123456789012345,238857,1,Hub,"2019-01-01 01:01:05","2019-01-01 01:01:02",,4.07,2,,,,,,,,,,,,,,,,,,,,,
123456789012345,238858,3,SensorReading,"2019-01-01 01:01:45","2019-01-01 01:01:42",,,,,,,,,,,,,,Lounge,2,"2019-01-01 01:01:42",22.9375,0,3.1750,3,,,,
123456789012345,238859,3,SensorReading,"2019-01-01 01:02:21","2019-01-01 01:02:18",,,,,,,,,,,,,,Kitchen,1,"2019-01-01 01:02:17",22.8125,0,3.0960,3,,,,
